bookmaker,market,player,side,line,odds,implied_prob,fair_prob_over,fair_prob_under,fair_prob,ev,flag
DraftKings,player_rebounds,Jaden McDaniels,under,4.5,2.05,0.48780487804878053,0.5012224938875305,0.49877750611246946,0.49877750611246946,0.02249388753056225,
BetRivers,player_rebounds,Jaden McDaniels,over,4.5,2.04,0.49019607843137253,0.5012224938875305,0.49877750611246946,0.5012224938875305,0.02249388753056225,
BetMGM,player_points,Jaxson Hayes,under,6.5,2.05,0.48780487804878053,0.5012224938875305,0.49877750611246946,0.49877750611246946,0.02249388753056225,
FanDuel,player_points,Jaxson Hayes,over,6.5,2.04,0.49019607843137253,0.5012224938875305,0.49877750611246946,0.5012224938875305,0.02249388753056225,
Bally Bet,player_rebounds,Jaden McDaniels,over,4.5,2.04,0.49019607843137253,0.5012224938875305,0.49877750611246946,0.5012224938875305,0.02249388753056225,
FanDuel,player_rebounds,Jaxson Hayes,under,4.5,2.04,0.49019607843137253,0.49877750611246946,0.5012224938875305,0.5012224938875305,0.02249388753056225,
Hard Rock Bet,player_rebounds,Jaxson Hayes,over,4.5,2.05,0.48780487804878053,0.49877750611246946,0.5012224938875305,0.49877750611246946,0.02249388753056225,
BetOnline.ag,player_rebounds,Aaron Wiggins,over,3.5,2.2,0.45454545454545453,0.464720194647202,0.5352798053527981,0.464720194647202,0.022384428223844566,
BetMGM,player_rebounds,Aaron Wiggins,over,3.5,2.2,0.45454545454545453,0.464720194647202,0.5352798053527981,0.464720194647202,0.022384428223844566,
Hard Rock Bet,player_assists,Taurean Prince,over,1.5,2.2,0.45454545454545453,0.464720194647202,0.5352798053527981,0.464720194647202,0.022384428223844566,
BetMGM,player_assists,Taurean Prince,under,1.5,1.91,0.5235602094240838,0.464720194647202,0.5352798053527981,0.5352798053527981,0.022384428223844344,
ESPN BET,player_assists,Taurean Prince,under,1.5,1.91,0.5235602094240838,0.464720194647202,0.5352798053527981,0.5352798053527981,0.022384428223844344,
DraftKings,player_rebounds,Aaron Wiggins,under,3.5,1.91,0.5235602094240838,0.464720194647202,0.5352798053527981,0.5352798053527981,0.022384428223844344,
Hard Rock Bet,player_points,Taurean Prince,over,6.5,1.95,0.5128205128205129,0.5238095238095238,0.47619047619047616,0.5238095238095238,0.021428571428571352,
ESPN BET,player_points,Taurean Prince,over,6.5,1.95,0.5128205128205129,0.5238095238095238,0.47619047619047616,0.5238095238095238,0.021428571428571352,
BetOnline.ag,player_threes,Anthony Edwards,under,3.5,2.08,0.4807692307692307,0.5092592592592592,0.49074074074074076,0.49074074074074076,0.020740740740740726,
BetMGM,player_rebounds,Anthony Edwards,under,4.5,2.05,0.48780487804878053,0.5022624434389141,0.497737556561086,0.497737556561086,0.020361990950226172,
Bally Bet,player_rebounds,Jonathan Kuminga,over,4.5,2.14,0.4672897196261682,0.4767726161369193,0.5232273838630808,0.4767726161369193,0.02029339853300738,
BetRivers,player_rebounds,Jonathan Kuminga,over,4.5,2.14,0.4672897196261682,0.4767726161369193,0.5232273838630808,0.4767726161369193,0.02029339853300738,
Hard Rock Bet,player_rebounds,Jonathan Kuminga,under,4.5,1.95,0.5128205128205129,0.4767726161369193,0.5232273838630808,0.5232273838630808,0.02029339853300738,
DraftKings,player_rebounds,Jonathan Kuminga,over,4.5,2.14,0.4672897196261682,0.4767726161369193,0.5232273838630808,0.4767726161369193,0.02029339853300738,
