bookmaker,market,player,line,odds,side,est_win_prob,ev
DraftKings,player_threes,Over,1.5,2.7,over,0.5,-0.4865
DraftKings,player_steals,Under,0.5,2.7,under,0.5,-0.4865
BetMGM,player_assists,Over,1.5,2.7,over,0.5,-0.4865
DraftKings,player_steals,Over,1.5,2.7,over,0.5,-0.4865
Bovada,player_threes,Over,1.5,2.7,over,0.5,-0.4865
Hard Rock Bet,player_threes,Under,0.5,2.7,under,0.5,-0.4865
Hard Rock Bet,player_steals,Over,1.5,2.7,over,0.5,-0.4865
Hard Rock Bet,player_blocks,Over,1.5,2.7,over,0.5,-0.4865
DraftKings,player_assists,Over,2.5,2.7,over,0.5,-0.4865
Bally Bet,player_blocks,Under,0.5,2.7,under,0.5,-0.4865
DraftKings,player_steals,Under,0.5,2.7,under,0.5,-0.4865
Fliff,player_assists,Under,0.5,2.7,under,0.5,-0.4865
Hard Rock Bet,player_blocks,Over,0.5,2.7,over,0.5,-0.4865
Hard Rock Bet,player_threes,Under,0.5,2.7,under,0.5,-0.4865
Hard Rock Bet,player_blocks,Over,0.5,2.7,over,0.5,-0.4865
ProphetX,player_threes,Over,2.5,2.7,over,0.5,-0.4865
Bovada,player_threes,Over,1.5,2.7,over,0.5,-0.4865
Novig,player_threes,Over,1.5,2.68,over,0.5,-0.4866
BetOnline.ag,player_threes,Over,1.5,2.67,over,0.5,-0.48665
BetOnline.ag,player_threes,Over,1.5,2.67,over,0.5,-0.48665
Novig,player_assists,Under,2.5,2.66,under,0.5,-0.4867
ESPN BET,player_threes,Under,0.5,2.65,under,0.5,-0.48675
Fliff,player_steals,Over,1.5,2.65,over,0.5,-0.48675
ESPN BET,player_assists,Under,0.5,2.65,under,0.5,-0.48675
ESPN BET,player_assists,Under,0.5,2.65,under,0.5,-0.48675
ESPN BET,player_threes,Under,0.5,2.65,under,0.5,-0.48675
Bally Bet,player_threes,Over,1.5,2.65,over,0.5,-0.48675
BetMGM,player_blocks,Over,0.5,2.65,over,0.5,-0.48675
Fliff,player_steals,Under,0.5,2.65,under,0.5,-0.48675
BetMGM,player_blocks,Under,0.5,2.65,under,0.5,-0.48675
Hard Rock Bet,player_blocks,Over,0.5,2.65,over,0.5,-0.48675
Fliff,player_blocks,Over,1.5,2.65,over,0.5,-0.48675
BetRivers,player_threes,Over,1.5,2.65,over,0.5,-0.48675
Bally Bet,player_blocks,Over,1.5,2.65,over,0.5,-0.48675
Bovada,player_assists,Over,3.5,2.65,over,0.5,-0.48675
Hard Rock Bet,player_steals,Over,1.5,2.65,over,0.5,-0.48675
Hard Rock Bet,player_assists,Over,1.5,2.65,over,0.5,-0.48675
Bally Bet,player_steals,Over,1.5,2.65,over,0.5,-0.48675
Novig,player_rebounds,Under,3.5,2.65,under,0.5,-0.48675
Fliff,player_blocks,Over,1.5,2.65,over,0.5,-0.48675
Hard Rock Bet,player_blocks,Over,0.5,2.65,over,0.5,-0.48675
Bally Bet,player_steals,Under,0.5,2.65,under,0.5,-0.48675
Hard Rock Bet,player_blocks,Over,0.5,2.65,over,0.5,-0.48675
Hard Rock Bet,player_steals,Over,0.5,2.65,over,0.5,-0.48675
ESPN BET,player_threes,Over,1.5,2.65,over,0.5,-0.48675
Hard Rock Bet,player_threes,Over,1.5,2.65,over,0.5,-0.48675
DraftKings,player_steals,Under,0.5,2.65,under,0.5,-0.48675
ProphetX,player_assists,Over,3.5,2.64,over,0.5,-0.4868
ProphetX,player_threes,Under,1.5,2.64,under,0.5,-0.4868
ProphetX,player_rebounds,Under,3.5,2.64,under,0.5,-0.4868
ProphetX,player_assists,Over,1.5,2.64,over,0.5,-0.4868
FanDuel,player_steals,Under,0.5,2.64,under,0.5,-0.4868
FanDuel,player_threes,Over,1.5,2.64,over,0.5,-0.4868
BetOnline.ag,player_assists,Over,1.5,2.64,over,0.5,-0.4868
FanDuel,player_threes,Over,1.5,2.64,over,0.5,-0.4868
Bally Bet,player_steals,Under,0.5,2.63,under,0.5,-0.48685
Novig,player_rebounds,Under,2.5,2.63,under,0.5,-0.48685
BetRivers,player_threes,Over,1.5,2.63,over,0.5,-0.48685
Bally Bet,player_threes,Over,1.5,2.63,over,0.5,-0.48685
Novig,player_steals,Under,0.5,2.62,under,0.5,-0.4869
Novig,player_threes,Over,1.5,2.62,over,0.5,-0.4869
Novig,player_rebounds,Under,3.5,2.62,under,0.5,-0.4869
FanDuel,player_threes,Under,0.5,2.62,under,0.5,-0.4869
BetOnline.ag,player_threes,Over,0.5,2.61,over,0.5,-0.48695
BetMGM,player_threes,Over,1.5,2.6,over,0.5,-0.487
Fliff,player_steals,Under,0.5,2.6,under,0.5,-0.487
Bovada,player_threes,Over,1.5,2.6,over,0.5,-0.487
Hard Rock Bet,player_steals,Over,0.5,2.6,over,0.5,-0.487
BetMGM,player_threes,Over,3.5,2.6,over,0.5,-0.487
DraftKings,player_threes,Under,0.5,2.6,under,0.5,-0.487
Hard Rock Bet,player_steals,Over,0.5,2.6,over,0.5,-0.487
Hard Rock Bet,player_steals,Over,1.5,2.6,over,0.5,-0.487
BetMGM,player_threes,Under,0.5,2.6,under,0.5,-0.487
BetMGM,player_threes,Over,1.5,2.6,over,0.5,-0.487
Hard Rock Bet,player_assists,Over,1.5,2.6,over,0.5,-0.487
BetMGM,player_threes,Under,0.5,2.6,under,0.5,-0.487
BetMGM,player_assists,Over,1.5,2.6,over,0.5,-0.487
Hard Rock Bet,player_blocks,Over,0.5,2.6,over,0.5,-0.487
BetMGM,player_threes,Over,0.5,2.6,over,0.5,-0.487
Bally Bet,player_steals,Under,0.5,2.6,under,0.5,-0.487
ESPN BET,player_threes,Over,0.5,2.6,over,0.5,-0.487
DraftKings,player_steals,Over,1.5,2.6,over,0.5,-0.487
BetMGM,player_assists,Under,0.5,2.6,under,0.5,-0.487
Fliff,player_assists,Over,1.5,2.6,over,0.5,-0.487
Hard Rock Bet,player_steals,Over,1.5,2.6,over,0.5,-0.487
ProphetX,player_assists,Under,2.5,2.6,under,0.5,-0.487
Fliff,player_blocks,Over,2.5,2.6,over,0.5,-0.487
Hard Rock Bet,player_steals,Over,0.5,2.6,over,0.5,-0.487
Hard Rock Bet,player_steals,Over,1.5,2.6,over,0.5,-0.487
Hard Rock Bet,player_assists,Under,1.5,2.6,under,0.5,-0.487
Novig,player_assists,Over,1.5,2.6,over,0.5,-0.487
Bally Bet,player_steals,Over,1.5,2.6,over,0.5,-0.487
ESPN BET,player_threes,Under,1.5,2.6,under,0.5,-0.487
Fliff,player_assists,Under,1.5,2.6,under,0.5,-0.487
Fliff,player_threes,Over,0.5,2.6,over,0.5,-0.487
DraftKings,player_threes,Under,0.5,2.6,under,0.5,-0.487
Caesars,player_threes,Over,0.5,2.59,over,0.5,-0.48705
Novig,player_assists,Under,3.5,2.59,under,0.5,-0.48705
Novig,player_assists,Over,7.5,2.59,over,0.5,-0.48705
FanDuel,player_threes,Over,1.5,2.58,over,0.5,-0.4871
BetOpenly,player_assists,Over,8.5,2.58,over,0.5,-0.4871
BetOnline.ag,player_assists,Over,1.5,2.58,over,0.5,-0.4871
BetOnline.ag,player_threes,Over,1.5,2.58,over,0.5,-0.4871
Novig,player_assists,Over,1.5,2.58,over,0.5,-0.4871
ProphetX,player_rebounds,Over,9.5,2.56,over,0.5,-0.4872
ProphetX,player_assists,Over,8.5,2.56,over,0.5,-0.4872
Novig,player_blocks,Under,0.5,2.56,under,0.5,-0.4872
Hard Rock Bet,player_threes,Under,0.5,2.55,under,0.5,-0.48725
BetMGM,player_threes,Under,0.5,2.55,under,0.5,-0.48725
Fliff,player_steals,Under,0.5,2.55,under,0.5,-0.48725
BetMGM,player_threes,Over,2.5,2.55,over,0.5,-0.48725
Fliff,player_threes,Over,0.5,2.55,over,0.5,-0.48725
Fliff,player_steals,Under,0.5,2.55,under,0.5,-0.48725
BetOnline.ag,player_threes,Over,1.5,2.55,over,0.5,-0.48725
BetMGM,player_blocks,Over,0.5,2.55,over,0.5,-0.48725
Hard Rock Bet,player_blocks,Over,0.5,2.55,over,0.5,-0.48725
Fliff,player_blocks,Under,0.5,2.55,under,0.5,-0.48725
Hard Rock Bet,player_assists,Under,0.5,2.55,under,0.5,-0.48725
Bally Bet,player_steals,Under,0.5,2.55,under,0.5,-0.48725
DraftKings,player_assists,Under,4.5,2.55,under,0.5,-0.48725
BetMGM,player_blocks,Over,0.5,2.55,over,0.5,-0.48725
Hard Rock Bet,player_threes,Over,1.5,2.55,over,0.5,-0.48725
Hard Rock Bet,player_threes,Over,1.5,2.55,over,0.5,-0.48725
Hard Rock Bet,player_threes,Under,0.5,2.55,under,0.5,-0.48725
Hard Rock Bet,player_steals,Over,0.5,2.55,over,0.5,-0.48725
Hard Rock Bet,player_blocks,Over,0.5,2.55,over,0.5,-0.48725
Hard Rock Bet,player_assists,Under,0.5,2.55,under,0.5,-0.48725
Hard Rock Bet,player_steals,Over,1.5,2.55,over,0.5,-0.48725
Hard Rock Bet,player_threes,Over,1.5,2.55,over,0.5,-0.48725
BetMGM,player_blocks,Over,0.5,2.55,over,0.5,-0.48725
Fliff,player_steals,Under,0.5,2.55,under,0.5,-0.48725
BetMGM,player_blocks,Over,0.5,2.55,over,0.5,-0.48725
DraftKings,player_threes,Over,3.5,2.55,over,0.5,-0.48725
Hard Rock Bet,player_blocks,Over,0.5,2.55,over,0.5,-0.48725
Bally Bet,player_steals,Under,0.5,2.55,under,0.5,-0.48725
BetOnline.ag,player_threes,Under,0.5,2.55,under,0.5,-0.48725
Fliff,player_threes,Over,1.5,2.55,over,0.5,-0.48725
Hard Rock Bet,player_assists,Under,0.5,2.55,under,0.5,-0.48725
Hard Rock Bet,player_blocks,Over,0.5,2.55,over,0.5,-0.48725
Hard Rock Bet,player_blocks,Over,0.5,2.55,over,0.5,-0.48725
Novig,player_rebounds,Over,9.5,2.55,over,0.5,-0.48725
Hard Rock Bet,player_assists,Under,0.5,2.55,under,0.5,-0.48725
FanDuel,player_steals,Under,0.5,2.54,under,0.5,-0.4873
DraftKings,player_threes,Over,1.5,2.54,over,0.5,-0.4873
DraftKings,player_assists,Over,1.5,2.54,over,0.5,-0.4873
Novig,player_threes,Over,1.5,2.54,over,0.5,-0.4873
DraftKings,player_blocks,Over,0.5,2.54,over,0.5,-0.4873
ProphetX,player_points,Under,9.5,2.54,under,0.5,-0.4873
Novig,player_points,Under,9.5,2.53,under,0.5,-0.48735
Novig,player_threes,Over,1.5,2.53,over,0.5,-0.48735
Novig,player_threes,Under,0.5,2.53,under,0.5,-0.48735
Novig,player_assists,Under,3.5,2.53,under,0.5,-0.48735
Caesars,player_assists,Over,1.5,2.52,over,0.5,-0.4874
Novig,player_threes,Under,0.5,2.52,under,0.5,-0.4874
FanDuel,player_threes,Over,1.5,2.52,over,0.5,-0.4874
Caesars,player_threes,Over,1.5,2.52,over,0.5,-0.4874
ProphetX,player_threes,Under,2.5,2.52,under,0.5,-0.4874
ProphetX,player_points,Under,14.5,2.52,under,0.5,-0.4874
Novig,player_threes,Over,1.5,2.52,over,0.5,-0.4874
Caesars,player_threes,Over,1.5,2.52,over,0.5,-0.4874
BetOnline.ag,player_threes,Over,2.5,2.52,over,0.5,-0.4874
Novig,player_threes,Under,1.5,2.52,under,0.5,-0.4874
Caesars,player_threes,Under,0.5,2.52,under,0.5,-0.4874
Novig,player_rebounds,Under,2.5,2.51,under,0.5,-0.48745
BetOnline.ag,player_threes,Under,0.5,2.51,under,0.5,-0.48745
Novig,player_steals,Under,0.5,2.51,under,0.5,-0.48745
BetMGM,player_threes,Under,0.5,2.5,under,0.5,-0.4875
Fliff,player_assists,Under,1.5,2.5,under,0.5,-0.4875
ESPN BET,player_threes,Under,0.5,2.5,under,0.5,-0.4875
ESPN BET,player_assists,Over,1.5,2.5,over,0.5,-0.4875
Hard Rock Bet,player_steals,Over,0.5,2.5,over,0.5,-0.4875
BetMGM,player_assists,Over,1.5,2.5,over,0.5,-0.4875
BetMGM,player_threes,Under,0.5,2.5,under,0.5,-0.4875
BetMGM,player_blocks,Under,0.5,2.5,under,0.5,-0.4875
BetMGM,player_threes,Under,0.5,2.5,under,0.5,-0.4875
Bovada,player_threes,Under,1.5,2.5,under,0.5,-0.4875
Fliff,player_threes,Over,1.5,2.5,over,0.5,-0.4875
DraftKings,player_threes,Under,2.5,2.5,under,0.5,-0.4875
ESPN BET,player_assists,Under,0.5,2.5,under,0.5,-0.4875
Bovada,player_threes,Over,1.5,2.5,over,0.5,-0.4875
ESPN BET,player_threes,Under,0.5,2.5,under,0.5,-0.4875
Hard Rock Bet,player_threes,Under,0.5,2.5,under,0.5,-0.4875
Hard Rock Bet,player_blocks,Over,2.5,2.5,over,0.5,-0.4875
ESPN BET,player_threes,Over,0.5,2.5,over,0.5,-0.4875
ESPN BET,player_threes,Over,1.5,2.5,over,0.5,-0.4875
Hard Rock Bet,player_blocks,Over,0.5,2.5,over,0.5,-0.4875
ProphetX,player_threes,Over,3.5,2.5,over,0.5,-0.4875
Hard Rock Bet,player_assists,Over,1.5,2.5,over,0.5,-0.4875
BetMGM,player_assists,Under,1.5,2.5,under,0.5,-0.4875
BetMGM,player_assists,Over,1.5,2.5,over,0.5,-0.4875
DraftKings,player_threes,Under,0.5,2.5,under,0.5,-0.4875
Fliff,player_steals,Under,0.5,2.5,under,0.5,-0.4875
Hard Rock Bet,player_steals,Over,0.5,2.5,over,0.5,-0.4875
ESPN BET,player_threes,Over,1.5,2.5,over,0.5,-0.4875
Fliff,player_threes,Over,1.5,2.5,over,0.5,-0.4875
Novig,player_rebounds,Over,3.5,2.5,over,0.5,-0.4875
FanDuel,player_threes,Over,1.5,2.5,over,0.5,-0.4875
Novig,player_assists,Under,7.5,2.5,under,0.5,-0.4875
